# book_id: 01
# book_name: 珐琅工艺
# subject: enamel
# domain: industrial_training
# category: jewelry_craft
# version: v1





高温珐琅工艺 | alias=高温珐琅,大明火珐琅 | type=工艺
大明火珐琅工艺 | alias=大明火珐琅,高温珐琅 | type=工艺
冷珐琅 | alias=低温珐琅 | type=工艺
掐丝珐琅工艺 | alias=掐丝珐琅 | type=工艺
内填珐琅工艺 | alias=内填珐琅 | type=工艺
雕金珐琅工艺 | alias=雕金珐琅,玑镂珐琅工艺,玑镂珐琅 | type=工艺
透空珐琅工艺 | alias=透空珐琅 | type=工艺
日本省胎七宝烧 | alias=省胎七宝烧 | type=工艺
平铺珐琅工艺 | alias=平铺珐琅 | type=工艺
画珐琅工艺 | alias=画珐琅 | type=工艺
灰度绘工艺 | alias=灰度绘 | type=工艺
铅笔绘工艺 | alias=铅笔绘 | type=工艺
勾花法 | alias=勾花法 | type=技法
白色底釉翻花法 | alias=白色底釉翻色法 | type=技法
透明底釉勾线法 | alias=透明底釉勾线法 | type=技法
景泰蓝 | alias=景泰蓝 | type=工艺
日本有线七宝 | alias=有线七宝 | type=工艺
俄罗斯花丝珐琅 | alias=花丝珐琅 | type=工艺
腐蚀法内填珐琅 | alias=腐蚀法，内填珐琅 | type=工艺
錾刻法内填珐琅 | alias=錾刻法 | type=工艺
竖烧法 | alias=竖烧法 | type=技法
干筛法 | alias=干筛法 | type=技法
珐琅釉料 | alias=珐琅釉 | type=釉料
透明釉料 | alias=透明釉 | type=釉料
不透明釉料 | alias=不透明釉 | type=釉料
半透明釉料 | alias=半透明釉 | type=釉料
珠光釉料 | alias=珠光釉 | type=釉料
含铅釉料 | alias=含铅釉 | type=釉料
无铅釉料 | alias=无铅釉 | type=釉料
高温釉料 | alias=高温釉 | type=釉料
中温釉料 | alias=中温釉 | type=釉料
低温釉料 | alias=低温釉 | type=釉料
景泰蓝釉料 | alias=景泰蓝釉 | type=釉料
法国珐琅釉料 | alias=法国珐琅釉 | type=釉料
日本珐琅釉料 | alias=日本珐琅釉 | type=釉料
英国无铅釉料 | alias=英国无铅釉 | type=釉料
基础底釉 | alias=底釉 | type=釉料
背釉 | alias=背釉 | type=釉料
底釉 | alias=底釉 | type=釉料
瓷白底釉 | alias=瓷白底釉 | type=釉料
涅白底釉 | alias=涅白底釉 | type=釉料
画珐琅釉料 | alias=画珐琅釉 | type=釉料
利摩日白釉料 | alias=利摩日白 | type=釉料
釉料粉末 | alias=釉料粉末 | type=釉料
釉料碎块 | alias=釉料碎块 | type=釉料
釉料色板 | alias=釉料色板 | type=釉料
釉料试片 | alias=釉料试片 | type=釉料
釉料碎粒 | alias=釉料碎粒 | type=釉料
釉料丝 | alias=釉料丝 | type=釉料
收缩率 | alias=收缩率 | type=属性
粗细度 | alias=目数 | type=属性
呈色稳定性 | alias=呈色稳定性 | type=属性
砂眼 | alias=釉料孔洞瑕疵 | type=属性
珐琅胶 | alias=珐琅胶 | type=材料
天然植物精油 | alias=植物精油 | type=材料
珐琅中和油 | alias=中和油 | type=材料
绘画用松节油 | alias=松节油 | type=材料
稀硫酸溶液 | alias=稀硫酸 | type=材料
稀硝酸溶液 | alias=稀硝酸 | type=材料
